Time,Stock,Strategy,Signal,Price,Stop Loss,Target,R:R,RSI
2026-06-30 11:14 IST,IRFC,SCALP,BUY,₹90.69999694824219,₹90.36,₹91.15,1:1.32,61.1
2026-06-30 11:15 IST,ESCORTS,MOMENTUM,SELL,₹2932.300048828125,₹2953.12,₹2888.32,1:2.11,48.6
2026-06-30 11:17 IST,GODREJCP,SCALP,BUY,₹1015.9000244140625,₹1012.77,₹1020.98,1:1.62,55.9
2026-06-30 11:16 IST,ADANIGREEN,SWING,BUY,₹1494.5,₹1473.49,₹1533.91,1:1.88,—
2026-06-30 11:15 IST,WIPRO,SWING,BUY,₹171.1999969482422,₹168.42,₹175.93,1:1.7,—
2026-06-30 11:15 IST,HCLTECH,SWING,BUY,₹1080.9000244140625,₹1067.7,₹1110.74,1:2.26,—
2026-06-30 11:15 IST,UNIONBANK,SWING,BUY,₹173.6999969482422,₹171.12,₹178.2,1:1.74,—
2026-06-30 11:15 IST,SURYODAY,SCALP,BUY,₹175.55999755859375,₹174.73,₹176.44,1:1.06,51.0
2026-06-30 11:16 IST,TORNTPHARM,SWING,SELL,₹4641.10009765625,₹4701.78,₹4519.2,1:2.01,—
2026-06-30 11:19 IST,TATACONSUM,SCALP,BUY,₹1080.4000244140625,₹1074.96,₹1085.8,1:0.99,54.1
2026-06-30 11:19 IST,WHIRLPOOL,SCALP,SELL,₹803.0499877929688,₹805.46,₹799.03,1:1.67,57.0
2026-06-30 11:16 IST,COFORGE,MOMENTUM,SELL,₹1487.9000244140625,₹1498.74,₹1465.58,1:2.06,47.5
2026-06-30 11:19 IST,SOBHA,MOMENTUM,SELL,₹1392.0999755859375,₹1403.44,₹1371.22,1:1.84,43.8
2026-06-30 11:18 IST,RELIANCE,MOMENTUM,BUY,₹1296.5,₹1286.17,₹1315.95,1:1.88,57.9
2026-06-30 11:19 IST,SOBHA,SCALP,BUY,₹1394.9000244140625,₹1389.05,₹1401.87,1:1.19,55.3
2026-06-30 11:17 IST,UTKARSHBNK,SCALP,BUY,₹14.350000381469727,₹14.29,₹14.42,1:1.17,55.1
2026-06-30 11:19 IST,RELIANCE,SCALP,BUY,₹1296.800048828125,₹1290.99,₹1303.28,1:1.12,59.6
2026-06-30 11:20 IST,COCHINSHIP,SWING,SELL,₹1473.699951171875,₹1506.03,₹1427.29,1:1.44,—
2026-06-30 11:22 IST,NMDC,MOMENTUM,BUY,₹85.1500015258789,₹84.39,₹86.43,1:1.68,65.0
2026-06-30 11:18 IST,APTUS,SWING,SELL,₹275.5,₹279.39,₹267.96,1:1.94,—
2026-06-30 11:19 IST,ZYDUSLIFE,SCALP,SELL,₹1119.800048828125,₹1123.16,₹1114.2,1:1.67,57.7
2026-06-30 11:17 IST,FEDERALBNK,SCALP,BUY,₹329.54998779296875,₹327.39,₹331.2,1:0.76,50.9
2026-06-30 11:20 IST,CRAFTSMAN,SWING,SELL,₹9472.5,₹9659.82,₹9196.03,1:1.48,—
2026-06-30 11:22 IST,TAJGVK,SWING,SELL,₹330.20001220703125,₹336.53,₹321.4,1:1.39,—
2026-06-30 11:23 IST,NMDC,SCALP,BUY,₹85.12000274658203,₹84.8,₹85.55,1:1.34,62.9
2026-06-30 11:23 IST,APLAPOLLO,SCALP,BUY,₹1782.4000244140625,₹1776.18,₹1791.31,1:1.43,44.9
2026-06-30 11:23 IST,RATNAMANI,SCALP,SELL,₹2539.39990234375,₹2547.02,₹2526.7,1:1.67,56.0
2026-06-30 11:21 IST,ABB,SWING,SELL,₹7036.0,₹7132.47,₹6859.37,1:1.83,—
2026-06-30 11:24 IST,TATAINVEST,SCALP,SELL,₹668.2999877929688,₹670.3,₹664.96,1:1.67,61.1
2026-06-30 11:19 IST,EQUITASBNK,SCALP,BUY,₹74.63999938964844,₹74.28,₹75.01,1:1.03,58.3
2026-06-30 11:22 IST,HUDCO,SWING,BUY,₹206.1999969482422,₹203.35,₹211.48,1:1.85,—
2026-06-30 11:24 IST,JSWSTEEL,SCALP,BUY,₹1235.300048828125,₹1229.84,₹1241.48,1:1.13,60.5
2026-06-30 11:24:17 IST,KRSNAA,SCALP,BUY,₹542.5,₹538.48,₹545.21,1:0.67,63.9
2026-06-30 11:22 IST,BLUEDART,SCALP,BUY,₹4882.2001953125,₹4857.14,₹4906.61,1:0.97,63.0
2026-06-30 11:23 IST,GRINDWELL,SWING,SELL,₹2172.699951171875,₹2210.09,₹2113.11,1:1.59,—
2026-06-30 11:19 IST,IDFCFIRSTB,SCALP,BUY,₹78.69999694824219,₹78.33,₹79.09,1:1.05,58.5
2026-06-30 11:23 IST,CONCOR,SCALP,BUY,₹472.75,₹469.24,₹475.11,1:0.67,63.8
2026-06-30 11:21 IST,CIPLA,SCALP,BUY,₹1465.5999755859375,₹1457.94,₹1472.93,1:0.96,62.6
2026-06-30 11:22 IST,BPCL,SCALP,SELL,₹301.8500061035156,₹302.76,₹300.34,1:1.66,55.8
2026-06-30 11:25 IST,ZEEL,SWING,BUY,₹104.4000015258789,₹102.7,₹107.24,1:1.67,—
2026-06-30 11:20 IST,ICICIBANK,SWING,BUY,₹1382.0999755859375,₹1364.3,₹1418.18,1:2.03,—
2026-06-30 11:22 IST,DRREDDY,SCALP,BUY,₹1356.0999755859375,₹1351.54,₹1362.88,1:1.49,55.7
